name,url,description
"A K Peters Ltd.","http://www.akpeters.com/","specialized publishing for the oil and gas industry. scientific technical publisher whose publishing program focuses on computer science (graphics, geometric design, robotics, CHI) and mathematics."
"A.A. Balkema Publishers","http://balkema.ima.nl/","specializes in the publication of academic books and journals in engineering, earth science, and life science."
"ADASI Publishing Company","http://www.adasi.com/","self-education books for those interested in science."
"Agathon Press","http://www.agathonpress.com/","specializes in books on higher education and political science."
"AltaMira Press","http://www.altamirapress.com/","publishes professional and academic books, journals, and software in the humanities and human sciences."
"Althouse Press, The","http://www.edu.uwo.ca/althousepress/","serving professors through a recommendation and review copy request service.run by the Faculty of Education at the University of Western Ontario. Publishes both scholarly monographs and education, and professional books and materials for educators."
"American Society of Civil Engineers Publications","http://www.pubs.asce.org/","includes a civil engineering database, book catalog, journals, CE Magazine, contract documents, and job listings."
"American Technical Publishers - ATP","http://www.AmericanTech.org/","publishers of technical, vocational, and instructional materials."
"Arab Scientific Publishers","http://www.asp.com.lb/","books, software and magazines in Arabic."
"Aris & Phillips","http://www.arisandphillips.com/","small publishing company specializing in textbooks written by professors at the Massachusetts Institute of Technology.independent academic publishers of monographs and textbooks on anthropology, material culture, dress and fashion theory, cultural studies, history, and more.publishes monographs and texts on a range of Humanities subjects, including Egyptology and Middle Eastern, Ancient Near Eastern, and Hispanic studies."
"Artech House","http://www.artechhouse.com/","books and software for high-technology professionals."
"Ashgate","http://www.ashgate.com/","international publisher in the social sciences and humanities, producing specialized scholarly studies and collected essays."
"Asian Research Service","http://www.asianresearchservice.com/","provides academic services including journal publication."
"Athena Scientific","http://www.athenasc.com/","small publishing company specializing in textbooks written by professors at the Massachusetts Institute of Technology."
"Backyard Scientist","http://www.backyardscientist.com/","hands-on science books and kits for children."
"Baker Academic","http://www.bakeracademic.com/","specializing in academic titles and juvenile fiction, including the Beany Malone series by Lenora Mattingly Weber.Christian book publisher specializing in scholarly books, reference works, and textbooks for the Christian academy in a variety of disciplines, including Biblical studies, apologetics, and church history."
"Barks Publications, Inc","http://members.aol.com/eamagazine/home.htm","publisher of books and periodicals about electromechanical and electronic application and maintenance."
"Baywood Publishing Company","http://www.baywood.com/","publishes scholarly and professional books and journals."
"Begell House, Inc.","http://www.begellhouse.com/","publishes a wide variety of scholarly scientific and technical journals and books."
"Bell Pond Books","http://www.bellpondbooks.com/","publishes books about the world and humankind""s relationship to it."
"Bellwether Publishing Ltd.","http://www.bellpub.com/","academic journal publisher."
"Benjamin Cummings Science","http://www.awlonline.com/bc/","anatomy and physiology, biology, chemistry, earth sciences, and microbiology textbooks."
"Berg Publishers","http://www.berg.demon.co.uk/","small publishing company specializing in textbooks written by professors at the Massachusetts Institute of Technology.independent academic publishers of monographs and textbooks on anthropology, material culture, dress and fashion theory, cultural studies, history, and more."
